Student ID,Name,Gender,Age,Department,Semester,Attendance (%),Internal Marks,Midterm Marks,Final Exam Marks,Total Marks,GPA,Result,Backlogs,Scholarship,Hostel Resident,Extra Curricular Score,Parental Income (USD),Internet Access,Study Hours per Day
STD00053,Student_53,Male,17,Textile,5,67.63,15,24,36,75,2.5,Fail,1,No,Yes,29.06,4646.09,No,1.76
STD00054,Student_54,Female,21,BBA,5,88.06,13,40,32,85,2.5,Fail,2,No,No,100.0,3989.14,Yes,2.43
STD00055,Student_55,Male,23,Textile,3,69.48,23,27,35,85,2.5,Fail,1,No,No,52.32,5719.3,Yes,3.28
STD00056,Student_56,Female,20,Textile,2,91.42,18,33,45,96,3.0,Pass,0,No,No,69.4,1000.0,Yes,3.32
STD00057,Student_57,Female,19,Textile,3,82.34,10,28,42,80,2.5,Fail,2,No,No,53.03,8677.26,Yes,1.99
STD00058,Student_58,Male,23,ME,8,91.94,28,31,36,95,3.0,Pass,0,No,No,61.06,6414.45,Yes,2.95
STD00059,Student_59,Male,22,CSE,2,82.37,19,34,58,111,3.3,Fail,2,Yes,No,65.53,1678.0,Yes,3.83
STD00060,Student_60,Male,24,CE,8,89.86,27,44,40,111,3.3,Pass,0,No,No,87.6,6274.17,Yes,5.61
STD00061,Student_61,Male,17,Textile,5,75.12,28,40,31,99,3.0,Fail,1,Yes,No,57.83,6978.7,Yes,1.24
STD00062,Student_62,Male,21,EEE,1,87.79,15,33,53,101,3.0,Fail,1,No,Yes,46.28,5708.72,No,3.8
STD00063,Student_63,Male,17,Textile,4,78.43,12,21,55,88,2.5,Fail,2,No,Yes,43.13,6543.98,Yes,3.72
STD00064,Student_64,Male,19,Textile,8,91.1,27,45,67,139,4.0,Pass,0,No,No,38.35,4121.79,Yes,0.58
STD00065,Student_65,Male,24,CSE,5,83.56,29,49,38,116,3.3,Fail,2,Yes,No,49.4,8330.84,No,0.5
STD00066,Student_66,Female,18,EEE,3,96.02,19,41,67,127,3.7,Pass,0,No,No,100.0,6476.92,Yes,3.74
STD00067,Student_67,Female,21,CSE,7,82.48,29,23,65,117,3.3,Fail,1,No,No,74.8,6405.49,Yes,1.67
STD00068,Student_68,Male,24,Textile,7,77.51,13,44,35,92,3.0,Fail,2,No,Yes,54.41,6129.6,Yes,2.76
STD00069,Student_69,Female,17,CSE,4,86.35,17,27,59,103,3.0,Pass,0,No,No,86.72,3488.32,Yes,3.1
STD00070,Student_70,Female,18,CSE,8,100.0,25,49,43,117,3.3,Fail,2,No,No,49.75,3128.53,Yes,5.39
STD00071,Student_71,Female,20,BBA,5,95.77,11,48,43,102,3.0,Pass,0,No,Yes,85.36,3399.2,Yes,5.2
STD00072,Student_72,Female,19,ME,2,76.99,28,41,43,112,3.3,Pass,0,Yes,No,66.81,5964.24,No,4.37
STD00073,Student_73,Male,19,CE,7,84.96,24,21,53,98,3.0,Fail,2,No,No,85.46,4749.53,Yes,3.01
STD00074,Student_74,Female,21,ME,3,78.34,17,38,47,102,3.0,Pass,0,No,No,69.31,6384.1,Yes,5.08
STD00075,Student_75,Male,17,ME,7,76.29,26,37,31,94,3.0,Fail,2,No,No,40.61,1786.94,Yes,0.66
STD00076,Student_76,Female,20,EEE,5,85.14,22,25,61,108,3.3,Pass,0,No,Yes,64.09,5164.94,Yes,3.91
STD00077,Student_77,Female,22,BBA,2,82.42,12,39,55,106,3.3,Pass,0,No,No,73.41,4564.34,Yes,1.32
STD00078,Student_78,Female,21,BBA,2,74.59,19,35,60,114,3.3,Fail,1,No,No,80.07,4172.81,Yes,2.72
STD00079,Student_79,Male,24,CSE,2,78.41,22,20,50,92,3.0,Fail,1,No,No,55.15,5578.92,Yes,4.3
STD00080,Student_80,Female,22,ME,7,85.54,20,28,58,106,3.3,Fail,2,Yes,No,63.33,6631.1,No,2.86
STD00081,Student_81,Male,21,CE,4,79.22,10,41,43,94,3.0,Pass,0,No,No,80.9,3848.28,Yes,2.91
STD00082,Student_82,Female,17,EEE,3,84.85,23,21,30,74,2.0,Fail,2,Yes,No,74.42,4971.0,Yes,2.45
STD00083,Student_83,Male,20,BBA,2,78.01,11,34,63,108,3.3,Fail,1,No,No,69.42,3692.74,Yes,2.24
STD00084,Student_84,Female,17,CSE,5,89.68,21,38,61,120,3.7,Fail,1,No,Yes,57.29,3866.68,Yes,3.3
STD00085,Student_85,Male,19,CE,2,78.13,13,43,68,124,3.7,Fail,1,No,No,51.62,6993.85,No,3.22
STD00086,Student_86,Male,22,ME,3,91.34,21,28,41,90,3.0,Fail,1,No,No,63.37,5876.87,Yes,2.14
STD00087,Student_87,Female,18,CE,8,82.08,10,28,32,70,2.0,Fail,0,No,No,52.42,1000.0,Yes,4.8
STD00088,Student_88,Male,23,BBA,6,63.54,19,24,43,86,2.5,Fail,1,No,Yes,37.63,6518.64,Yes,2.03
STD00089,Student_89,Female,24,EEE,8,82.36,13,23,51,87,2.5,Fail,1,No,No,84.23,5028.21,Yes,0.77
STD00090,Student_90,Female,19,ME,6,90.05,11,24,55,90,3.0,Fail,1,No,No,41.37,4127.73,Yes,5.08
STD00091,Student_91,Female,19,EEE,8,79.47,22,31,64,117,3.3,Fail,1,No,No,79.99,5399.28,Yes,1.4
STD00092,Student_92,Female,22,Textile,4,83.04,17,20,52,89,2.5,Fail,1,No,No,45.7,4733.78,Yes,1.17
STD00093,Student_93,Female,24,CE,2,91.24,11,38,68,117,3.3,Pass,0,Yes,No,67.82,4303.64,No,5.04
STD00094,Student_94,Female,21,CE,5,100.0,12,46,33,91,3.0,Fail,2,No,Yes,25.74,6025.29,Yes,4.58
STD00095,Student_95,Female,19,CSE,3,96.54,24,28,55,107,3.3,Fail,2,No,No,71.34,7999.09,Yes,3.38
STD00096,Student_96,Female,23,ME,7,86.09,16,31,66,113,3.3,Pass,0,No,No,63.46,4039.74,No,1.96
STD00097,Student_97,Female,20,CE,2,90.6,19,43,55,117,3.3,Fail,2,No,No,72.78,9140.8,Yes,0.5
STD00098,Student_98,Female,19,BBA,8,85.9,29,48,55,132,3.7,Fail,1,Yes,No,40.23,3775.4,Yes,5.25
STD00099,Student_99,Female,20,Textile,7,69.98,20,49,59,128,3.7,Fail,1,No,No,100.0,4640.18,Yes,4.1
STD00100,Student_100,Male,17,BBA,4,97.66,23,48,58,129,3.7,Pass,0,Yes,No,21.29,6624.97,Yes,2.19
STD00101,Student_101,Male,24,EEE,1,98.16,28,32,61,121,3.7,Fail,1,No,No,62.39,6095.53,Yes,3.47
STD00102,Student_102,Female,21,Textile,6,68.24,23,39,43,105,3.3,Fail,1,Yes,No,44.02,7551.03,Yes,0.96
STD00103,Student_103,Female,20,Textile,5,81.17,10,36,58,104,3.0,Pass,0,Yes,No,80.2,1000.0,Yes,0.98
STD00104,Student_104,Female,19,BBA,8,100.0,16,22,34,72,2.0,Fail,0,No,No,45.33,4288.36,Yes,1.15
STD00105,Student_105,Female,21,CE,8,87.19,14,32,59,105,3.3,Pass,0,No,No,52.84,4558.72,Yes,2.15
STD00106,Student_106,Female,23,BBA,6,75.01,16,33,51,100,3.0,Pass,0,No,No,57.88,8566.77,No,2.02
STD00107,Student_107,Female,21,ME,8,97.18,22,23,61,106,3.3,Pass,0,No,No,56.44,6051.21,Yes,2.17
STD00108,Student_108,Female,20,EEE,2,86.16,16,23,46,85,2.5,Fail,1,No,No,51.99,1857.93,Yes,4.16
STD00109,Student_109,Female,24,Textile,2,97.96,28,48,59,135,4.0,Fail,1,No,Yes,84.09,6069.77,Yes,2.36
STD00110,Student_110,Male,20,ME,1,85.85,22,20,35,77,2.5,Fail,2,No,Yes,37.32,7369.05,Yes,2.47
STD00111,Student_111,Female,18,CE,3,63.45,25,25,34,84,2.5,Fail,2,No,No,79.78,4503.61,Yes,5.01
STD00112,Student_112,Male,18,CE,7,100.0,24,30,65,119,3.3,Pass,0,No,No,44.73,3443.22,Yes,2.18
STD00113,Student_113,Female,21,BBA,8,73.93,28,46,51,125,3.7,Fail,1,Yes,Yes,23.36,5365.03,Yes,2.41
STD00114,Student_114,Female,22,CSE,7,80.63,16,47,52,115,3.3,Pass,0,No,No,70.11,3914.37,Yes,4.91
STD00115,Student_115,Male,24,Textile,8,97.01,14,44,42,100,3.0,Fail,2,No,Yes,43.29,5624.55,Yes,2.67
STD00116,Student_116,Female,22,Textile,7,100.0,23,43,67,133,3.7,Fail,1,No,No,36.91,5519.64,Yes,3.94
STD00117,Student_117,Male,18,CSE,1,84.34,25,21,69,115,3.3,Pass,0,No,Yes,76.0,6664.63,Yes,0.65
STD00118,Student_118,Female,19,CE,7,88.58,20,42,45,107,3.3,Pass,0,No,No,26.33,4678.72,No,2.23
STD00119,Student_119,Female,17,CE,8,73.14,20,38,43,101,3.0,Pass,0,No,No,46.58,1066.49,Yes,2.97
STD00120,Student_120,Male,21,Textile,8,82.23,21,41,51,113,3.3,Fail,2,No,Yes,73.76,5542.18,Yes,5.09
STD00121,Student_121,Female,17,EEE,3,95.98,22,37,33,92,3.0,Fail,1,No,No,38.12,4820.48,Yes,2.48
STD00122,Student_122,Male,18,Textile,2,88.08,17,43,46,106,3.3,Fail,1,Yes,No,33.61,5313.06,Yes,4.64
STD00123,Student_123,Female,20,CE,1,100.0,15,39,32,86,2.5,Fail,1,No,Yes,61.04,4409.35,Yes,3.2
STD00124,Student_124,Male,23,CE,6,71.04,11,41,32,84,2.5,Fail,1,No,No,48.22,4874.91,No,4.87
STD00125,Student_125,Male,21,EEE,7,70.62,19,35,38,92,3.0,Fail,1,Yes,No,63.11,3300.18,Yes,2.15
STD00126,Student_126,Female,18,ME,6,78.15,11,22,67,100,3.0,Fail,2,No,No,50.83,4251.29,No,1.94
STD00127,Student_127,Female,24,ME,7,78.64,20,20,36,76,2.5,Fail,1,Yes,No,38.97,5609.75,Yes,2.31
STD00128,Student_128,Male,19,EEE,8,94.57,14,21,42,77,2.5,Pass,0,No,No,70.16,3425.52,Yes,2.17
STD00129,Student_129,Female,23,EEE,2,80.89,15,32,61,108,3.3,Pass,0,No,Yes,77.12,9172.66,Yes,3.48
STD00130,Student_130,Female,21,ME,1,73.22,25,45,31,101,3.0,Fail,1,Yes,No,45.99,1840.19,No,3.63
STD00131,Student_131,Female,21,ME,2,88.97,29,33,66,128,3.7,Fail,1,Yes,Yes,95.67,3480.96,Yes,3.75
STD00132,Student_132,Male,24,ME,8,77.31,19,27,42,88,2.5,Fail,2,No,No,91.4,4013.42,Yes,0.5
STD00133,Student_133,Male,22,ME,8,74.06,23,47,58,128,3.7,Fail,2,No,No,100.0,1000.0,Yes,3.16
STD00134,Student_134,Male,20,Textile,8,95.6,15,33,42,90,3.0,Fail,1,No,Yes,55.23,6465.36,Yes,3.4
STD00135,Student_135,Male,21,Textile,6,97.94,14,25,49,88,2.5,Fail,2,No,Yes,57.94,5505.01,Yes,1.37
STD00136,Student_136,Male,20,BBA,8,94.79,19,31,40,90,3.0,Fail,2,No,No,52.12,7703.62,Yes,4.54
STD00137,Student_137,Male,18,EEE,8,76.66,21,23,69,113,3.3,Fail,2,No,No,68.99,1000.0,Yes,3.54
STD00138,Student_138,Male,19,CSE,6,79.11,26,28,38,92,3.0,Pass,0,No,No,36.66,3413.05,Yes,1.35
STD00139,Student_139,Male,23,BBA,2,90.44,25,26,33,84,2.5,Pass,0,No,Yes,54.9,2362.81,Yes,3.85
STD00140,Student_140,Male,23,CSE,7,92.42,19,20,44,83,2.5,Fail,1,No,No,76.25,7165.1,No,2.43
STD00141,Student_141,Female,19,CSE,2,82.7,26,41,65,132,3.7,Fail,1,No,No,43.86,5546.29,Yes,2.46
STD00142,Student_142,Male,21,CE,4,97.05,11,23,60,94,3.0,Fail,1,No,Yes,54.82,3722.53,Yes,1.45
STD00143,Student_143,Female,21,EEE,1,64.54,11,25,31,67,2.0,Fail,0,Yes,No,70.38,4572.03,Yes,2.4
STD00144,Student_144,Female,18,Textile,8,79.27,23,30,41,94,3.0,Fail,1,Yes,Yes,56.23,6797.96,Yes,4.73
STD00145,Student_145,Female,22,BBA,4,100.0,13,27,50,90,3.0,Fail,2,No,Yes,48.5,3539.15,Yes,3.47
STD00146,Student_146,Male,22,EEE,8,84.86,21,32,59,112,3.3,Pass,0,No,Yes,73.51,1243.47,Yes,1.68
STD00147,Student_147,Male,22,ME,2,80.22,11,28,52,91,3.0,Pass,0,No,Yes,59.68,3123.56,Yes,3.92
STD00148,Student_148,Male,20,EEE,5,89.74,23,38,40,101,3.0,Pass,0,Yes,No,64.1,3812.52,Yes,1.74
STD00149,Student_149,Male,22,CSE,8,75.44,27,49,65,141,4.0,Fail,2,No,No,46.29,2275.33,No,2.33
STD00150,Student_150,Female,19,Textile,6,61.69,18,37,54,109,3.3,Pass,0,No,No,48.1,5826.03,Yes,1.31
STD00151,Student_151,Male,23,ME,3,100.0,17,45,36,98,3.0,Fail,2,No,Yes,74.3,10395.56,Yes,0.97
STD00152,Student_152,Male,23,EEE,1,76.41,16,42,37,95,3.0,Fail,2,No,No,89.2,5734.07,Yes,4.18
STD00153,Student_153,Male,20,EEE,1,87.22,22,42,51,115,3.3,Fail,2,No,Yes,49.83,6545.67,Yes,2.88
STD00154,Student_154,Male,18,Textile,6,86.74,11,38,65,114,3.3,Fail,1,Yes,No,74.45,4758.85,Yes,2.17
STD00155,Student_155,Male,19,CSE,3,89.95,11,49,67,127,3.7,Fail,2,No,No,71.29,4079.2,Yes,4.04
STD00156,Student_156,Female,23,ME,4,77.06,25,24,32,81,2.5,Fail,2,No,No,75.75,6899.15,No,2.0
STD00157,Student_157,Male,19,CSE,3,59.19,25,29,43,97,3.0,Pass,0,No,Yes,58.28,5631.11,Yes,5.29
STD00158,Student_158,Female,23,Textile,5,78.45,27,34,56,117,3.3,Fail,1,Yes,No,79.1,2678.68,Yes,1.79
STD00159,Student_159,Male,17,EEE,2,85.31,11,27,65,103,3.0,Fail,1,No,No,70.95,6422.96,Yes,1.46
STD00160,Student_160,Female,18,BBA,3,86.03,16,38,55,109,3.3,Fail,1,No,No,51.38,5508.06,Yes,2.23
STD00161,Student_161,Male,18,BBA,8,100.0,16,27,36,79,2.5,Fail,1,No,No,52.23,7676.99,Yes,1.35
STD00162,Student_162,Male,24,CE,7,82.16,26,34,66,126,3.7,Fail,2,No,No,100.0,5355.0,Yes,3.76
STD00163,Student_163,Female,17,BBA,3,87.08,21,38,37,96,3.0,Pass,0,No,No,76.2,3950.77,Yes,2.58
STD00164,Student_164,Female,20,Textile,2,77.08,22,23,69,114,3.3,Fail,2,No,Yes,65.13,4544.32,Yes,2.14
STD00165,Student_165,Female,23,Textile,6,79.02,14,22,33,69,2.0,Fail,1,No,Yes,54.39,5126.31,Yes,2.02
STD00166,Student_166,Male,24,Textile,1,100.0,24,24,31,79,2.5,Fail,1,No,No,53.12,3679.11,Yes,0.5
STD00167,Student_167,Female,23,ME,6,77.86,11,31,46,88,2.5,Pass,0,No,Yes,64.74,2615.27,Yes,0.65
STD00168,Student_168,Male,23,CE,7,81.21,15,35,50,100,3.0,Pass,0,No,Yes,40.7,2415.64,Yes,4.66
STD00169,Student_169,Male,22,ME,8,95.86,13,27,65,105,3.3,Fail,2,Yes,Yes,29.79,2572.75,Yes,3.98
STD00170,Student_170,Female,22,BBA,5,100.0,22,40,49,111,3.3,Fail,2,No,Yes,73.28,5331.79,Yes,4.22
STD00171,Student_171,Female,22,BBA,6,93.1,11,42,59,112,3.3,Fail,2,No,No,90.64,5505.74,Yes,5.34
STD00172,Student_172,Male,22,EEE,3,93.13,14,48,31,93,3.0,Fail,1,No,No,91.21,5855.02,No,4.9
STD00173,Student_173,Male,22,ME,3,72.48,17,39,44,100,3.0,Fail,2,No,No,73.06,4898.14,No,4.07
STD00174,Student_174,Female,17,CSE,1,90.15,25,47,69,141,4.0,Fail,1,No,No,51.97,5642.14,Yes,1.58
STD00175,Student_175,Female,18,EEE,5,81.93,16,45,31,92,3.0,Pass,0,Yes,No,88.52,5368.16,Yes,5.77
STD00176,Student_176,Female,20,ME,2,89.73,12,37,56,105,3.3,Fail,2,No,No,91.55,6819.6,Yes,1.43
STD00177,Student_177,Male,19,Textile,2,82.21,18,41,50,109,3.3,Fail,2,No,No,65.87,4963.64,Yes,3.2
STD00178,Student_178,Male,22,CE,4,79.29,22,31,54,107,3.3,Fail,1,No,No,85.09,5883.39,Yes,1.34
STD00179,Student_179,Male,17,ME,5,70.42,11,24,58,93,3.0,Fail,2,No,Yes,20.32,8720.02,Yes,3.45
STD00180,Student_180,Male,24,CE,5,84.16,28,27,34,89,2.5,Fail,1,No,No,68.04,4915.08,Yes,4.01
STD00181,Student_181,Male,24,CE,3,86.72,20,27,30,77,2.5,Fail,1,No,No,68.01,8292.45,Yes,2.15
STD00182,Student_182,Male,23,BBA,4,64.12,19,20,54,93,3.0,Pass,0,No,Yes,49.4,6680.29,Yes,0.5
STD00183,Student_183,Female,20,CSE,2,78.87,20,46,54,120,3.7,Fail,2,No,No,53.24,7577.13,Yes,2.7
STD00184,Student_184,Male,24,ME,8,82.36,26,49,40,115,3.3,Fail,1,No,Yes,80.95,6664.38,Yes,5.72
STD00185,Student_185,Male,20,CSE,8,90.73,26,47,62,135,4.0,Fail,2,No,No,67.39,2104.92,Yes,5.88
STD00186,Student_186,Male,20,CE,7,79.1,12,27,48,87,2.5,Pass,0,Yes,No,72.94,4164.71,Yes,3.45
STD00187,Student_187,Female,17,BBA,5,91.29,21,38,47,106,3.3,Fail,2,Yes,Yes,81.49,3211.34,Yes,2.88
STD00188,Student_188,Male,19,CSE,5,87.81,12,37,36,85,2.5,Fail,1,No,No,70.24,4848.66,Yes,6.08
STD00189,Student_189,Male,22,EEE,1,93.69,14,46,52,112,3.3,Fail,2,No,Yes,67.68,2130.42,Yes,4.66
STD00190,Student_190,Female,20,CE,2,79.7,15,45,33,93,3.0,Fail,1,Yes,No,70.77,8991.68,Yes,4.53
STD00191,Student_191,Male,17,EEE,1,82.18,29,39,50,118,3.3,Fail,1,No,No,31.65,7433.69,Yes,4.36
STD00192,Student_192,Male,23,Textile,8,90.7,19,29,42,90,3.0,Pass,0,No,Yes,79.54,1000.0,Yes,3.92
STD00193,Student_193,Male,18,CSE,4,74.79,20,27,56,103,3.0,Fail,2,No,No,69.04,5071.99,Yes,0.89
STD00194,Student_194,Male,23,CSE,5,84.33,28,32,35,95,3.0,Fail,2,No,No,73.79,7576.61,Yes,2.35
STD00195,Student_195,Male,17,CSE,4,94.9,29,24,42,95,3.0,Fail,1,No,No,59.48,9023.67,Yes,3.8
STD00196,Student_196,Female,17,Textile,6,78.33,20,48,47,115,3.3,Pass,0,No,No,64.7,3204.91,Yes,3.04
STD00197,Student_197,Female,17,ME,1,88.28,17,30,56,103,3.0,Fail,1,Yes,Yes,81.59,4371.81,Yes,2.66
STD00198,Student_198,Female,20,CE,2,84.98,18,42,52,112,3.3,Pass,0,No,No,28.21,6699.51,Yes,0.95
STD00199,Student_199,Male,17,CE,5,99.68,12,27,60,99,3.0,Fail,2,Yes,No,12.81,5124.77,Yes,2.52
STD00200,Student_200,Male,18,CE,6,85.82,10,38,50,98,3.0,Fail,1,No,Yes,81.44,4354.05,Yes,2.73
STD00201,Student_201,Male,20,ME,6,90.34,11,42,54,107,3.3,Fail,1,No,No,58.81,5323.49,Yes,1.48
STD00202,Student_202,Female,23,CSE,2,83.33,11,42,45,98,3.0,Fail,1,No,Yes,20.23,3893.74,Yes,4.24
STD00203,Student_203,Male,18,CSE,4,79.82,12,44,45,101,3.0,Fail,2,No,Yes,48.05,1626.24,No,4.01
STD00204,Student_204,Male,24,Textile,6,87.27,27,38,68,133,3.7,Fail,2,No,No,68.2,6529.62,Yes,2.24
STD00205,Student_205,Female,21,EEE,3,79.32,26,41,50,117,3.3,Pass,0,No,No,59.56,4696.52,Yes,4.03
STD00206,Student_206,Male,23,ME,2,95.34,21,42,62,125,3.7,Pass,0,Yes,No,60.29,3920.81,Yes,5.1
STD00207,Student_207,Female,17,BBA,6,96.76,15,49,57,121,3.7,Fail,2,No,No,68.78,4732.7,Yes,3.29
STD00208,Student_208,Female,22,ME,2,85.72,16,28,59,103,3.0,Fail,1,No,Yes,44.54,3530.62,Yes,4.11
STD00209,Student_209,Female,22,Textile,2,80.59,26,35,30,91,3.0,Fail,2,Yes,Yes,32.49,3258.23,Yes,2.66
STD00210,Student_210,Male,20,EEE,5,87.28,18,31,34,83,2.5,Pass,0,Yes,No,76.41,1000.0,Yes,3.56
STD00211,Student_211,Male,22,EEE,4,72.26,21,23,62,106,3.3,Fail,2,Yes,No,87.57,4666.29,Yes,2.88
STD00212,Student_212,Male,23,EEE,8,77.43,23,23,40,86,2.5,Pass,0,No,No,61.68,3495.61,No,1.39
STD00213,Student_213,Male,20,CSE,4,74.09,20,31,37,88,2.5,Fail,2,Yes,No,14.12,3335.02,Yes,1.12
